,training_data_thu.csv_diff,count1,training_data_ICTCLAS.csv_diff,count2,training_data_thu.csv_SegmentedInput,training_data_ICTCLAS.csv_SegmentedInput
8830,! 回到 ! 开卡 ! 借记卡,3,! 回 ! 到 ! 开 ! 卡 ! 借 ! 记 ! 卡,7,是 必须 要 回到 开卡 网点 才 能 办理 借记卡 换 芯片 卡 吗,是 必须 要 回 到 开 卡 网点 才 能 办理 借 记 卡 换 芯片 卡 吗
8831,! 借记卡 ! 换 ! 成,3,! 借 ! 记 ! 卡换成,3,我 想 把 我 的 借记卡 换 成 带 芯片 的 ， 该 怎么 办,我 想 把 我 的 借 记 卡换成 带 芯片 的 ， 该 怎么 办
8832,! 借记卡 ! IC卡,2,! 借 ! 记 ! 卡 ! ic ! 卡,5,怎么样 将 借记卡 升级 成 IC卡,怎么样 将 借 记 卡 升级 成 ic 卡
8833,! IC卡 ! IC芯片卡,2,! ic ! 卡 ! ic ! 芯片 ! 卡,5,IC卡 和 IC芯片卡 是 一样 的 吗,ic 卡 和 ic 芯片 卡 是 一样 的 吗
8834,! 补 ! 办 ! 芯片卡,3,! 补办 ! 芯片 ! 卡,3,补 办 芯片卡 有 什么 要求,补办 芯片 卡 有 什么 要求
8835,! 补 ! 办,2,! 补办,1,卡 书面 挂失 了 能 直接 补 办 芯片 卡 吗,卡 书面 挂失 了 能 直接 补办 芯片 卡 吗
8836,! 补 ! 办 ! IC卡,3,! 补办 ! ic ! 卡,3,能 补 办 IC卡 吗,能 补办 ic 卡 吗
8837,! 芯片卡 ! 补 ! 办 ! 一 ! 张,5,! 芯片 ! 卡 ! 补办 ! 一张,4,其他 银行 都 有 芯片卡 ， 我 的 卡 丢 了 能 补 办 一 张 芯片 卡 吗,其他 银行 都 有 芯片 卡 ， 我 的 卡 丢 了 能 补办 一张 芯片 卡 吗
8838,! 一 ! 张,2,! 一张,1,我 能 直接 补 一 张 芯片 卡 吗,我 能 直接 补 一张 芯片 卡 吗
8839,! 所 ! 在 ! 补 ! 办,4,! 所在 ! 补办,2,我 所 在 的 省市 能 补 办 芯片 卡 吗,我 所在 的 省市 能 补办 芯片 卡 吗
8840,! 补 ! 办,2,! 补办,1,我 在 北京 了 能 直接 补 办 芯片 卡 吗,我 在 北京 了 能 直接 补办 芯片 卡 吗
8841,! 补 ! 办 ! 可以,3,! 补办 ! 可 ! 以,3,直接 补 办 芯片 卡 可以 吗,直接 补办 芯片 卡 可 以 吗
8842,! 补 ! 办 ! 芯片卡,3,! 补办 ! 芯片 ! 卡,3,直接 补 办 芯片卡 是 所有 网点 都 行 吗,直接 补办 芯片 卡 是 所有 网点 都 行 吗
8843,! 借记卡 ! 带,2,! 借 ! 记 ! 卡带,3,办理 芯片 借记卡 带 什么 去,办理 芯片 借 记 卡带 什么 去
8844,! 借记卡,1,! 借 ! 记 ! 卡,3,办 芯片 借记卡 必须 回 户口 所在地 吗,办 芯片 借 记 卡 必须 回 户口 所在地 吗
8845,! 借记卡,1,! 借 ! 记 ! 卡,3,办 芯片 借记卡 只 带 身份证 复印件 行 吗,办 芯片 借 记 卡 只 带 身份证 复印件 行 吗
8846,! 户口 ! 本能 ! 借记卡,3,! 户口本 ! 能 ! 借 ! 记 ! 卡,5,户口 本能 办 芯片 借记卡 吗,户口本 能 办 芯片 借 记 卡 吗
8847,! 借记卡,1,! 借 ! 记 ! 卡,3,护照 能 办 芯片 借记卡 吗,护照 能 办 芯片 借 记 卡 吗
8848,! 借记卡,1,! 借 ! 记 ! 卡,3,驾照 能 办 芯片 借记卡 吗,驾照 能 办 芯片 借 记 卡 吗
8849,! 借记卡,1,! 借 ! 记 ! 卡,3,借记卡 芯片 能 代办 吗,借 记 卡 芯片 能 代办 吗
8850,! 借记卡,1,! 借 ! 记 ! 卡,3,任意 郑州 银行 都 能 办 芯片 借记卡 吗,任意 郑州 银行 都 能 办 芯片 借 记 卡 吗
8851,! 张借记卡,1,! 张 ! 借 ! 记 ! 卡,4,我 能 给 家人 办 张借记卡 吗,我 能 给 家人 办 张 借 记 卡 吗
8852,! 借记卡,1,! 借 ! 记 ! 卡,3,怎么 办理 芯片 借记卡,怎么 办理 芯片 借 记 卡
8853,,0,,0,办理 附属 卡 需要 那些 材料,办理 附属 卡 需要 那些 材料
8854,! 办理,1,! 办 ! 理,2,附属 卡 如何 办理,附属 卡 如何 办 理
8855,! 附属卡 ! 开卡,2,! 附属 ! 卡 ! 开 ! 卡,4,开通 附属卡 是 需要 回到 开卡 网点 办理 吗,开通 附属 卡 是 需要 回到 开 卡 网点 办理 吗
8856,! 卡种,1,! 卡 ! 种,2,能 办理 其他 卡种 的 附属 卡 吗,能 办理 其他 卡 种 的 附属 卡 吗
8857,,0,,0,能 介绍 下 怎样 办理 附属 卡,能 介绍 下 怎样 办理 附属 卡
8858,- / - / - /,3,,0,能 使用 户口簿 / 护照 / 身份证 复印件 / 驾照 开 附属 卡 吗,能 使用 户口簿  护照  身份证 复印件  驾照 开 附属 卡 吗
8859,,0,,0,企业 客户 如何 办理 附属 卡,企业 客户 如何 办理 附属 卡
8860,,0,,0,如何 开通 附属 卡,如何 开通 附属 卡
8861,! 一 ! 张,2,! 一张,1,是 只能 申请 一 张 附属 卡 吗,是 只能 申请 一张 附属 卡 吗
8862,! 一 ! 张 ! 附属卡,3,! 一张 ! 附属 ! 卡,3,我 想 开 一 张 附属卡 ， 需要 什么 材料,我 想 开 一张 附属 卡 ， 需要 什么 材料
8863,,0,,0,办理 个人 归集 业务 需要 签 什么 协议,办理 个人 归集 业务 需要 签 什么 协议
8864,! 个人,1,! 个 ! 人,2,个人 如何 办理 个人 资金 归集 业务,个 人 如何 办理 个人 资金 归集 业务
8865,! 个人 ! 主账户 ! 办理,3,! 个 ! 人 ! 主 ! 账户 ! 办 ! 理,6,个人 资金 归集 对于 主账户 怎么 办理,个 人 资金 归集 对于 主 账户 怎么 办 理
8866,! 个人 ! 子账户 ! 办理,3,! 个 ! 人 ! 子 ! 账户 ! 办 ! 理,6,个人 资金 归集 对于 子账户 怎么 办理,个 人 资金 归集 对于 子 账户 怎么 办 理
8867,! 个人,1,! 个 ! 人,2,个人 资金 归集 需要 携带 什么 证件 办理,个 人 资金 归集 需要 携带 什么 证件 办理
8868,! 个人,1,! 个 ! 人,2,个人 资金 归集 业务 必须 到 营业 网点 办理 吗,个 人 资金 归集 业务 必须 到 营业 网点 办理 吗
8869,! 个人,1,! 个 ! 人,2,个人 资金 归集 业务 可以 通过 电话 开通 吗,个 人 资金 归集 业务 可以 通过 电话 开通 吗
8870,,0,,0,网上 银行 可以 办理 个人 个人 资金 归集 业务 吗,网上 银行 可以 办理 个人 个人 资金 归集 业务 吗
8871,! 名下,1,! 名 ! 下,2,怎么 办理 个人 名下 的 个人 资金 归集 业务,怎么 办理 个人 名 下 的 个人 资金 归集 业务
8872,,0,,0,怎么 办理 他人 的 个人 资金 归集 业务,怎么 办理 他人 的 个人 资金 归集 业务
8873,,0,,0,请问 贵宾 卡 申请 需要 什么 条件,请问 贵宾 卡 申请 需要 什么 条件
8874,! 一 ! 张 ! 白金卡,3,! 一张 ! 白金 ! 卡,3,我 想 办 一 张 白金卡 ， 怎么 办,我 想 办 一张 白金 卡 ， 怎么 办
8875,! 一 ! 张,2,! 一张,1,我 想 办 一 张 高端卡 ， 怎么 办,我 想 办 一张 高端卡 ， 怎么 办
8876,! 一 ! 张 ! 贵宾卡,3,! 一张 ! 贵宾 ! 卡,3,我 想 办 一 张 贵宾卡 ， 怎么 办,我 想 办 一张 贵宾 卡 ， 怎么 办
8877,! 一 ! 张,2,! 一张,1,我 想 办 一 张 金卡 ， 怎么 办,我 想 办 一张 金卡 ， 怎么 办
8878,! 一 ! 张 ! 钻石卡,3,! 一张 ! 钻石 ! 卡,3,我 想 办 一 张 钻石卡 ， 怎么 办,我 想 办 一张 钻石 卡 ， 怎么 办
8879,! 怎么办 ! 白金卡,2,! 怎么 ! 办 ! 白 ! 金卡,4,怎么办 白金卡,怎么 办 白 金卡
8880,! 怎么办 ! 高端卡,2,! 怎么 ! 办 ! 高 ! 端 ! 卡,5,怎么办 高端卡,怎么 办 高 端 卡
8881,! 怎么办,1,! 怎么 ! 办,2,怎么办 金卡,怎么 办 金卡
8882,! 怎么办 ! 钻石卡,2,! 怎么 ! 办 ! 钻石 ! 卡,4,怎么办 钻石卡,怎么 办 钻石 卡
8883,! 办 ! 理子,2,! 办理 ! 子,2,95599 能 办 理子 账户 部分 提前 支取 吗,95599 能 办理 子 账户 部分 提前 支取 吗
8884,! 子账户,1,! 子 ! 账户,2,定期 子账户 能 提前 支取 吗,定期 子 账户 能 提前 支取 吗
8885,! 借记 ! 主账户,2,! 借 ! 记 ! 主 ! 账户,4,借记 卡子 账户 的 钱 可以 转 到 主账户 吗,借 记 卡子 账户 的 钱 可以 转 到 主 账户 吗
8886,! 借记,1,! 借 ! 记,2,借记 卡子 账户 的 资金 能 转账 吗,借 记 卡子 账户 的 资金 能 转账 吗
8887,! 借记,1,! 借 ! 记,2,借记 卡子 账户 可以 部分 提前 支取 吗,借 记 卡子 账户 可以 部分 提前 支取 吗
8888,! 卡中,1,! 卡 ! 中,2,卡中 的 定期 账户 能 部分 提前 支取,卡 中 的 定期 账户 能 部分 提前 支取
8889,! 借记,1,! 借 ! 记,2,请 介绍 下 借记 卡子 账户 部分 提前 支取 的 方法,请 介绍 下 借 记 卡子 账户 部分 提前 支取 的 方法
8890,! 办 ! 理子,2,! 办理 ! 子,2,去 那里 可以 办 办 理子 账户 部分 提前 支取,去 那里 可以 办 办理 子 账户 部分 提前 支取
8891,! 省市,1,! 省 ! 市,2,我 现在 急需 用 钱 ， 可以 在 外 省市 把 我 卡 里面 的 定期 取出 吗,我 现在 急需 用 钱 ， 可以 在 外 省 市 把 我 卡 里面 的 定期 取出 吗
8892,! 子账户,1,! 子 ! 账户,2,子账户 部分 提前 支取 该 怎么 办,子 账户 部分 提前 支取 该 怎么 办
8893,! 借记卡,1,! 借 ! 记 ! 卡,3,金穗 借记卡 境外 消费 限额 提升 可 在 全国 网点 修改 吗,金穗 借 记 卡 境外 消费 限额 提升 可 在 全国 网点 修改 吗
8894,,0,,0,境外 消费 限额 可以 通过 那些 途径 修改,境外 消费 限额 可以 通过 那些 途径 修改
8895,,0,,0,境外 消费 限额 怎么 修改,境外 消费 限额 怎么 修改
8896,,0,,0,能 通过 网上 银行 来 修改 我 境外 消费 限额 吗,能 通过 网上 银行 来 修改 我 境外 消费 限额 吗
8897,,0,,0,请 介绍 下 如何 办理 境外 消费 限额 修改,请 介绍 下 如何 办理 境外 消费 限额 修改
8898,,0,,0,我 的 卡 在 境外 消费 的 限额 能 提高 吗,我 的 卡 在 境外 消费 的 限额 能 提高 吗
8899,- /,1,,0,我 现在 在 香港 / 澳门 的 网点 能 把 你 转账 业务 吗,我 现在 在 香港  澳门 的 网点 能 把 你 转账 业务 吗
8900,- /,1,,0,我 现在 在 香港 / 澳门 的 网点 能 提升 我 的 境外 消费 限额 吗,我 现在 在 香港  澳门 的 网点 能 提升 我 的 境外 消费 限额 吗
8901,,0,,0,我 在 境外 消费 时 提示 我 限额 不足,我 在 境外 消费 时 提示 我 限额 不足
8902,,0,,0,香港 、 澳门 支持 办理 转账 业务 吗,香港 、 澳门 支持 办理 转账 业务 吗
8903,! 95599电话 ! 储蓄卡,2,! 95599 ! 电话 ! 储蓄 ! 卡,4,拨打 95599电话 能 查询 储蓄卡 里 有 多少 钱 吗,拨打 95599 电话 能 查询 储蓄 卡 里 有 多少 钱 吗
8904,! 柜员机 ! 借记卡,2,! 柜员 ! 机 ! 借 ! 记 ! 卡,5,柜员机 能够 查询 借记卡 上 有 多少 钱 吗,柜员 机 能够 查询 借 记 卡 上 有 多少 钱 吗
8905,! 借记卡,1,! 借 ! 记 ! 卡,3,借记卡 如何 查 余额,借 记 卡 如何 查 余额
8906,! 借记卡,1,! 借 ! 记 ! 卡,3,哪些 渠道 可以 查询 借记卡 里 有 多少 钱,哪些 渠道 可以 查询 借 记 卡 里 有 多少 钱
8907,! 借记卡,1,! 借 ! 记 ! 卡,3,通过 95599 能够 查询 借记卡 余额 吗,通过 95599 能够 查询 借 记 卡 余额 吗
8908,! 储蓄卡,1,! 储蓄 ! 卡,2,网上 能 查询 储蓄卡 有 多少 钱 吗,网上 能 查询 储蓄 卡 有 多少 钱 吗
8909,! 借记卡,1,! 借 ! 记 ! 卡,3,我 想 查询 借记卡 有 多 长 钱,我 想 查询 借 记 卡 有 多 长 钱
8910,! 查询卡 ! 开户 ! 行么,3,! 查询 ! 卡 ! 开户行 ! 么,4,查询卡 状态 必须 去 开户 行么,查询 卡 状态 必须 去 开户行 么
8911,! 不 ! 能,2,! 不能,1,卡 不 能 正常 支付 了 怎么 办,卡 不能 正常 支付 了 怎么 办
8912,! 不 ! 能,2,! 不能,1,卡 不 能 转账 了 是 什么 原因,卡 不能 转账 了 是 什么 原因
8913,! 查询卡,1,! 查询 ! 卡,2,卡 长期 不 用 了 ， 怎么 查询卡 现在 是否 正常,卡 长期 不 用 了 ， 怎么 查询 卡 现在 是否 正常
8914,! 不 ! 能,2,! 不能,1,我 的 卡 不 能 取款 了 ， 是 什么 原因,我 的 卡 不能 取款 了 ， 是 什么 原因
8915,! 不 ! 能 ! 查询卡,3,! 不能 ! 查询 ! 卡,3,我 的 卡 不 能 用 了 怎么 查询卡 状态,我 的 卡 不能 用 了 怎么 查询 卡 状态
8916,! 不 ! 能,2,! 不能,1,我 的 卡 好 长 时间 不 用 了 ， 想 看 一下 能 不 能 正常 用,我 的 卡 好 长 时间 不 用 了 ， 想 看 一下 能 不能 正常 用
8917,,0,,0,我 的 卡 异常 是 什么 原因,我 的 卡 异常 是 什么 原因
8918,! 查询卡,1,! 查询 ! 卡,2,我 在 外地 了 ， 能 到 柜台 查询卡 状态 么,我 在 外地 了 ， 能 到 柜台 查询 卡 状态 么
8919,,0,,0,怎么 查询 我 的 卡 还 能否 正常 使用,怎么 查询 我 的 卡 还 能否 正常 使用
8920,! 卡号 ! 身份证号,2,! 卡 ! 号 ! 身份证 ! 号,4,不 记得 卡号 ， 提供 身份证号 ， 能 查 开户行 吗,不 记得 卡 号 ， 提供 身份证 号 ， 能 查 开户行 吗
8921,,0,,0,查询 开户行 需要 提供 哪些 信息,查询 开户行 需要 提供 哪些 信息
8922,,0,,0,开户行 撤 并 ， 怎么 办,开户行 撤 并 ， 怎么 办
8923,,0,,0,开户行 装修 ， 我 怎么 填写 开户行 名称,开户行 装修 ， 我 怎么 填写 开户行 名称
8924,! 银行卡,1,! 银行 ! 卡,2,我 的 银行卡 开户行 是 哪儿,我 的 银行 卡 开户行 是 哪儿
8925,! 银行卡,1,! 银行 ! 卡,2,我 的 银行卡 是 在 哪儿 开户 的,我 的 银行 卡 是 在 哪儿 开户 的
8926,,0,,0,我 要 查 开户行,我 要 查 开户行
8927,,0,,0,我 要 查 开户行 地址,我 要 查 开户行 地址
8928,,0,,0,转账 时 开户行 写 错 了 怎么 办,转账 时 开户行 写 错 了 怎么 办
8929,! 怎么办,1,! 怎么 ! 办,2,转账 需要 开户行 怎么办,转账 需要 开户行 怎么 办
8930,! 卡能,1,! 卡 ! 能,2,代理 开 出来 的 卡能 马上 使用 吗,代理 开 出来 的 卡 能 马上 使用 吗
8931,! 开卡,1,! 开 ! 卡,2,是 必须 要 存 钱 才 能 开卡 吗,是 必须 要 存 钱 才 能 开 卡 吗
8932,! 开卡 ! 激活 ! 开卡 ! 激活,4,! 开 ! 卡 ! 激 ! 活 ! 开 ! 卡 ! 激 ! 活,8,网点 说 代理 开卡 需要 激活 ， 是 必须 回 开卡 网点 激活 吗,网点 说 代理 开 卡 需要 激 活 ， 是 必须 回 开 卡 网点 激 活 吗
8933,,0,,0,我 的 朋友 在 国外 ， 我 能 代理 他 开张 卡 吗,我 的 朋友 在 国外 ， 我 能 代理 他 开张 卡 吗
8934,! 10 ! 张 ! 开卡,3,! 10张 ! 开 ! 卡,3,我 名下 有 10 张 卡 了 ， 还 能 再 开卡 吗,我 名下 有 10张 卡 了 ， 还 能 再 开 卡 吗
8935,! 一 ! 张,2,! 一张,1,我 想 帮 人 开 一 张 ， 用 他 的 身份证 复印件 可以 吗,我 想 帮 人 开 一张 ， 用 他 的 身份证 复印件 可以 吗
8936,! 几 ! 个 ! 开卡 ! 一 ! 次 ! 性能 ! 几 ! 张,8,! 几个 ! 开 ! 卡 ! 一次性 ! 能 ! 几张,6,我 要 帮 我 几 个 朋友 开卡 ， 一 次 性能 开 几 张,我 要 帮 我 几个 朋友 开 卡 ， 一次性 能 开 几张
8937,! 一 ! 张 ! 只有,3,! 一张 ! 只 ! 有,3,我 要 代理 别人 开 一 张 ， 但 我 只有 他 的 护照 可以 开通 吗,我 要 代理 别人 开 一张 ， 但 我 只 有 他 的 护照 可以 开通 吗
8938,! 一 ! 张,2,! 一张,1,我 要 给 我 孩子 开 一 张 可以 吗,我 要 给 我 孩子 开 一张 可以 吗
8939,! 一 ! 张,2,! 一张,1,我 有 一 张 别人 帮 我 开 的 卡 ， 现在 怎么 不 能 用,我 有 一张 别人 帮 我 开 的 卡 ， 现在 怎么 不 能 用
8940,! 借记卡 ! 卡能,2,! 借 ! 记 ! 卡 ! 卡 ! 能,5,622 开头 的 借记卡 附属 卡能 进行 控制 吗,622 开头 的 借 记 卡 附属 卡 能 进行 控制 吗
8941,,0,,0,95599 能 办理 控制 附属 卡 吗,95599 能 办理 控制 附属 卡 吗
8942,! 借记卡 ! 卡能,2,! 借 ! 记 ! 卡 ! 卡 ! 能,5,9559 开头 的 借记卡 附属 卡能 进行 控制 吗,9559 开头 的 借 记 卡 附属 卡 能 进行 控制 吗
8943,,0,,0,附属 卡 控制 办理 需要 带 身份证 吗,附属 卡 控制 办理 需要 带 身份证 吗
8944,,0,,0,附属 卡 能 做 那些 控制,附属 卡 能 做 那些 控制
8945,! 附属卡,1,! 附属 ! 卡,2,能 控制 附属卡 的 使用 吗,能 控制 附属 卡 的 使用 吗
8946,,0,,0,能 在 外 省 市 控制 附属 卡 吗,能 在 外 省 市 控制 附属 卡 吗
8947,,0,,0,我 的 卡 是 老 的 附属 卡 能 控制 使用 吗,我 的 卡 是 老 的 附属 卡 能 控制 使用 吗
8948,! 附属卡,1,! 附属 ! 卡,2,我 想 控制 附属卡 的 支付 渠道 和 支付 限额 该 怎么 做,我 想 控制 附属 卡 的 支付 渠道 和 支付 限额 该 怎么 做
8949,! 一 ! 张 ! 附属卡,3,! 一张 ! 附属 ! 卡,3,我 有 一 张 95599 开头 的 附属卡 ， 能 进行 支付 控制 吗,我 有 一张 95599 开头 的 附属 卡 ， 能 进行 支付 控制 吗
8950,! 激活 ! 借记卡,2,! 激 ! 活 ! 借 ! 记 ! 卡,5,别人 能 代理 我 办理 激活 借记卡 吗,别人 能 代理 我 办理 激 活 借 记 卡 吗
8951,! 激活,1,! 激 ! 活,2,单位 说 需要 激活 才 能 用 ， 是 真 的 吗,单位 说 需要 激 活 才 能 用 ， 是 真 的 吗
8952,! 查询卡,1,! 查询 ! 卡,2,刚才 我 查询卡 状态 是 “ 未 启用 ” ， 这个 怎么 解决,刚才 我 查询 卡 状态 是 “ 未 启用 ” ， 这个 怎么 解决
8953,! 激活 ! 马上,2,! 激 ! 活 ! 马 ! 上,4,激活 后 是 马上 可以 使用 了 吗,激 活 后 是 马 上 可以 使用 了 吗
8954,! 激活,1,! 激 ! 活,2,激活 收费 吗,激 活 收费 吗
8955,! 是 ! 不 ! 是 ! 开卡 ! 激活 ! 借记卡,6,! 是不是 ! 开 ! 卡 ! 激 ! 活 ! 借 ! 记 ! 卡,8,是 不 是 要求 开卡 的 网点 办理 激活 借记卡,是不是 要求 开 卡 的 网点 办理 激 活 借 记 卡
8956,,0,,0,我 的 卡 是 单位 刚 发 的 ， 怎么 不 能 用,我 的 卡 是 单位 刚 发 的 ， 怎么 不 能 用
8957,,0,,0,我 的 卡 是 学校 刚 发生 ， 怎么 不 能 用,我 的 卡 是 学校 刚 发生 ， 怎么 不 能 用
8958,! 激活 ! 借记卡,2,! 激 ! 活 ! 借 ! 记 ! 卡,5,我 能 带 户口簿 去 激活 借记卡 吗,我 能 带 户口簿 去 激 活 借 记 卡 吗
8959,! 激活 ! 借记卡,2,! 激 ! 活 ! 借 ! 记 ! 卡,5,我 有 护照 能 办理 激活 借记卡 吗,我 有 护照 能 办理 激 活 借 记 卡 吗
8960,! 个人,1,! 个 ! 人,2,个人 资金 归集 的 解约 需要 什么 手续,个 人 资金 归集 的 解约 需要 什么 手续
8961,! 个人 ! 解绑,2,! 个 ! 人 ! 解 ! 绑,4,个人 资金 归集 解绑 需要 带 什么 证件 去 办,个 人 资金 归集 解 绑 需要 带 什么 证件 去 办
8962,! 个人 ! 解绑 ! 银行卡,3,! 个 ! 人 ! 解 ! 绑 ! 银行 ! 卡,6,个人 资金 归集 解绑 需要 带 银行卡 去 办 吗,个 人 资金 归集 解 绑 需要 带 银行 卡 去 办 吗
8963,! 个人 ! 解绑,2,! 个 ! 人 ! 解 ! 绑,4,个人 资金 归集 解绑 需要 带子 账户 的 证件 吗,个 人 资金 归集 解 绑 需要 带子 账户 的 证件 吗
8964,! 个人,1,! 个 ! 人,2,个人 资金 归集 解约 的 必须 本人 办理 吗,个 人 资金 归集 解约 的 必须 本人 办理 吗
8965,! 个人,1,! 个 ! 人,2,个人 资金 归集 解约 可以 电话 办理 码,个 人 资金 归集 解约 可以 电话 办理 码
8966,! 个人,1,! 个 ! 人,2,个人 资金 归集 解约 能 代办 吗,个 人 资金 归集 解约 能 代办 吗
8967,! 个人 ! 解绑,2,! 个 ! 人 ! 解 ! 绑,4,个人 资金 归集 怎么 解绑,个 人 资金 归集 怎么 解 绑
8968,! 户口 ! 本去,2,! 户口本 ! 去,2,能 拿 着 户口 本去 办理 个人 资金 归集 的 解约 吗,能 拿 着 户口本 去 办理 个人 资金 归集 的 解约 吗
8969,,0,,0,企业 客户 修改 资金 归集 关系 办理 时 需要 什么 证件,企业 客户 修改 资金 归集 关系 办理 时 需要 什么 证件
8970,,0,,0,企业 客户 修改 资金 归集 关系 必须 到 开户行 办理 吗,企业 客户 修改 资金 归集 关系 必须 到 开户行 办理 吗
8971,,0,,0,企业 客户 修改 资金 归集 关系 需要 带 着 公章 吗,企业 客户 修改 资金 归集 关系 需要 带 着 公章 吗
8972,,0,,0,企业 客户 修改 资金 归集 关系 需要 法人 本人 去 办理 吗,企业 客户 修改 资金 归集 关系 需要 法人 本人 去 办理 吗
8973,,0,,0,企业 客户 修改 资金 归集 关系 需要 法人 的 身份证 吗,企业 客户 修改 资金 归集 关系 需要 法人 的 身份证 吗
8974,,0,,0,企业 客户 修改 资金 归集 关系 需要 什么 手续,企业 客户 修改 资金 归集 关系 需要 什么 手续
8975,,0,,0,企业 客户 修改 资金 归集 关系 需要 授权 书 吗,企业 客户 修改 资金 归集 关系 需要 授权 书 吗
8976,,0,,0,企业 客户 修改 资金 归集 关系 需要 营业执照 吗,企业 客户 修改 资金 归集 关系 需要 营业执照 吗
8977,,0,,0,企业 客户 修改 资金 归集 关系 需要 账号 吗,企业 客户 修改 资金 归集 关系 需要 账号 吗
8978,,0,,0,企业 客户 修改 资金 归集 关系 需要 组织 机构 代码 吗,企业 客户 修改 资金 归集 关系 需要 组织 机构 代码 吗
8979,! 归 ! 集解 ! 约码,3,! 归集 ! 解约 ! 码,3,网上 银行 可以 办理 个人 资金 归 集解 约码,网上 银行 可以 办理 个人 资金 归集 解约 码
8980,! 吞卡 ! 银行卡,2,! 吞 ! 卡 ! 银行 ! 卡,4,吞卡 后 银行卡 资金 安全 么,吞 卡 后 银行 卡 资金 安全 么
8981,! 吞卡 ! 领卡,2,! 吞 ! 卡 ! 领 ! 卡,4,吞卡 后 怎么 领卡,吞 卡 后 怎么 领 卡
8982,! 吞卡 ! 怎么办,2,! 吞 ! 卡 ! 怎么 ! 办,4,吞卡 怎么办,吞 卡 怎么 办
8983,,0,,0,我 的 卡 被 机器 吞 了,我 的 卡 被 机器 吞 了
8984,,0,,0,我 的 卡 被 机器 吞 了 ， 需要 办理 挂失 么,我 的 卡 被 机器 吞 了 ， 需要 办理 挂失 么
8985,! 卡插,1,! 卡 ! 插,2,我 的 卡插 在 机器 里 ， 出 不 来 了,我 的 卡 插 在 机器 里 ， 出 不 来 了
8986,! 卡吞卡,1,! 卡 ! 吞 ! 卡,3,我 的 卡吞卡 了 ， 但是 我 要 去 外地 ， 怎么 办,我 的 卡 吞 卡 了 ， 但是 我 要 去 外地 ， 怎么 办
8987,! 卡吞卡 ! 领卡,2,! 卡 ! 吞 ! 卡 ! 领 ! 卡,5,我 的 卡吞卡 了 ， 怎么 领卡,我 的 卡 吞 卡 了 ， 怎么 领 卡
8988,! 卡吞卡,1,! 卡 ! 吞 ! 卡,3,我 的 银行 卡吞卡 了,我 的 银行 卡 吞 卡 了
8989,! ATM ! 卡么,2,! atm ! 卡 ! 么,3,我 在 ATM 取款 后 忘 了 拿 卡 ， 会 被 机器 吞 卡么,我 在 atm 取款 后 忘 了 拿 卡 ， 会 被 机器 吞 卡 么
8990,- /,1,,0,单位 / 学校 发 的 卡 都 是 批量 开 的 吗,单位  学校 发 的 卡 都 是 批量 开 的 吗
8991,! 开卡,1,! 开 ! 卡,2,单位 批量 开卡 需 不 需要 单位 负责人 去 网点,单位 批量 开 卡 需 不 需要 单位 负责人 去 网点
8992,! 开卡,1,! 开 ! 卡,2,单位 批量 开卡 需要 什么 材料,单位 批量 开 卡 需要 什么 材料
8993,! 开卡,1,! 开 ! 卡,2,能 批量 开卡 吗,能 批量 开 卡 吗
8994,! 开卡,1,! 开 ! 卡,2,你们 银行 有 批量 开卡 业务 吗,你们 银行 有 批量 开 卡 业务 吗
8995,! 开卡,1,! 开 ! 卡,2,我们 单位 想 给 员工 发 工资 ， 能 批量 开卡 吗,我们 单位 想 给 员工 发 工资 ， 能 批量 开 卡 吗
8996,! 开卡,1,! 开 ! 卡,2,我 想 批量 开卡 该 怎么 做,我 想 批量 开 卡 该 怎么 做
8997,! 不 ! 能 ! 开卡,3,! 不能 ! 开 ! 卡,3,学生 很多 ， 不 能 当时 提供 身份证 复印件 ， 学校 还 能 批量 开卡 吗,学生 很多 ， 不能 当时 提供 身份证 复印件 ， 学校 还 能 批量 开 卡 吗
8998,! 开卡多,1,! 开 ! 卡 ! 多,3,学校 批量 开卡多 长 时间 补交 身份证 复印件,学校 批量 开 卡 多 长 时间 补交 身份证 复印件
8999,! 开卡,1,! 开 ! 卡,2,学校 批量 开卡 需要 身 材料,学校 批量 开 卡 需要 身 材料
9000,! 账折,1,! 账 ! 折,2,对 账折 办理 流程 是 什么,对 账 折 办理 流程 是 什么
9001,! 账折,1,! 账 ! 折,2,对 账折 必须 去 开户行 办理 么,对 账 折 必须 去 开户行 办理 么
9002,! 账折,1,! 账 ! 折,2,对 账折 必须 去 网点 办理 么,对 账 折 必须 去 网点 办理 么
9003,! 补 ! 办么,2,! 补办 ! 么,2,对 账 折 能 补 办么,对 账 折 能 补办 么
9004,! 账折,1,! 账 ! 折,2,对 账折 能 在 外地 办理 么,对 账 折 能 在 外地 办理 么
9005,! 账折,1,! 账 ! 折,2,对 账折 有 费用 么,对 账 折 有 费用 么
9006,! 账折 ! 办理,2,! 账 ! 折 ! 办 ! 理,4,对 账折 怎么 办理,对 账 折 怎么 办 理
9007,! 借记卡 ! 开通 ! 账折,3,! 借 ! 记 ! 卡开通 ! 账 ! 折,5,借记卡 开通 对 账折 能否 找 人 代办,借 记 卡开通 对 账 折 能否 找 人 代办
