序号,领域,类别,问题,扩展问题,SegmentedInput,SegmentedTarget
1034,银行卡,借记卡,什么是睡眠户,怎么会导致睡眠户,什么 是 睡眠 户,怎么 会 导致 睡眠 户
1035,银行卡,借记卡,什么是校园卡,校园卡能个人申请吗,什么 是 校园卡,校园卡 能 个人 申请 吗
1036,银行卡,借记卡,什么是校园卡,校园卡能开立电子现金账户吗,什么 是 校园卡,校园卡 能 开立 电子 现金 账户 吗
1037,银行卡,借记卡,什么是校园卡,校园卡能透支吗,什么 是 校园卡,校园卡 能 透支 吗
1038,银行卡,借记卡,什么是校园卡,校园卡能作为普通的储蓄卡使用吗,什么 是 校园卡,校园卡 能 作为 普通 的 储蓄卡 使用 吗
1039,银行卡,借记卡,什么是校园卡,校园卡是实名制吗,什么 是 校园卡,校园卡 是 实名制 吗
1040,银行卡,借记卡,什么是校园卡,校园卡是学校发的么,什么 是 校园卡,校园卡 是 学校 发 的 么
1041,银行卡,借记卡,什么是校园卡,校园卡有什么功能,什么 是 校园卡,校园卡 有 什么 功能
1042,银行卡,借记卡,什么是校园卡,校园卡怎么用,什么 是 校园卡,校园卡 怎么 用
1043,银行卡,借记卡,什么是校园卡,校园卡属于什么卡,什么 是 校园卡,校园卡 属于 什么 卡
1044,银行卡,借记卡,什么是校园卡,在校学生能办什么卡,什么 是 校园卡,在校学生 能办 什么 卡
1045,银行卡,借记卡,什么是星座卡,办理星座卡有什么要求,什么 是 星座卡,办理 星座卡 有 什么 要求
1046,银行卡,借记卡,什么是星座卡,借记卡卡面能用星座的图案吗,什么 是 星座卡,借记卡 卡面 能 用 星座 的 图案 吗
1047,银行卡,借记卡,什么是星座卡,年轻人办理什么卡,什么 是 星座卡,年轻人 办理 什么 卡
1048,银行卡,借记卡,什么是星座卡,星座卡对年龄有要求吗,什么 是 星座卡,星座卡 对 年龄 有 要求 吗
1049,银行卡,借记卡,什么是星座卡,星座卡能透支吗,什么 是 星座卡,星座卡 能 透支 吗
1050,银行卡,借记卡,什么是星座卡,星座卡是借记卡吗,什么 是 星座卡,星座卡 是 借记卡 吗
1051,银行卡,借记卡,什么是星座卡,星座卡是什么卡,什么 是 星座卡,星座卡 是 什么 卡
1052,银行卡,借记卡,什么是星座卡,星座卡针对什么人群,什么 是 星座卡,星座卡 针对 什么 人群
1053,银行卡,借记卡,什么是星座卡,星座卡属于储蓄卡吗,什么 是 星座卡,星座卡 属于 储蓄卡 吗
1054,银行卡,借记卡,什么是星座卡,星座卡属于信用卡吗,什么 是 星座卡,星座卡 属于 信用卡 吗
1055,银行卡,借记卡,什么是预授权,什么情况下会出现预授权,什么 是 预 授权,什么 情况 下会 出现 预 授权
1056,银行卡,借记卡,什么是预授权,预授权的操作流程,什么 是 预 授权,预 授权 的 操作 流程
1057,银行卡,借记卡,什么是预授权,预授权的受理方式,什么 是 预 授权,预 授权 的 受理 方式
1058,银行卡,借记卡,什么是预授权,预授权的原因,什么 是 预 授权,预 授权 的 原因
1059,银行卡,借记卡,什么是预授权,预授权是什么意思,什么 是 预 授权,预 授权 是 什么 意思
1060,银行卡,借记卡,什么是预授权,预授权是怎么形成的,什么 是 预 授权,预 授权 是 怎么 形成 的
1061,银行卡,借记卡,什么是预授权,预授权是怎样产生的,什么 是 预 授权,预 授权 是 怎样 产生 的
1062,银行卡,借记卡,什么是预授权,预授权一般用于哪些地方,什么 是 预 授权,预 授权 一般 用于 哪些地方
1063,银行卡,借记卡,什么是预授权,预授权怎么办理,什么 是 预 授权,预 授权 怎么 办理
1064,银行卡,借记卡,什么是预授权,预授权怎么操作,什么 是 预 授权,预 授权 怎么 操作
1065,银行卡,借记卡,什么是中国旅游卡,旅游卡能个人申请吗,什么 是 中国 旅游 卡,旅游 卡能 个人 申请 吗
1066,银行卡,借记卡,什么是中国旅游卡,旅游卡能透支吗,什么 是 中国 旅游 卡,旅游 卡能 透支 吗
1067,银行卡,借记卡,什么是中国旅游卡,旅游卡什么卡,什么 是 中国 旅游 卡,旅游 卡 什么 卡
1068,银行卡,借记卡,什么是中国旅游卡,旅游卡是借记卡吗,什么 是 中国 旅游 卡,旅游 卡是 借记卡 吗
1069,银行卡,借记卡,什么是中国旅游卡,旅游卡是哪里发行的,什么 是 中国 旅游 卡,旅游 卡是 哪里 发行 的
1070,银行卡,借记卡,什么是中国旅游卡,旅游卡有什么优惠吗,什么 是 中国 旅游 卡,旅游 卡有 什么 优惠 吗
1071,银行卡,借记卡,什么是中国旅游卡,旅游卡在什么地区发行了,什么 是 中国 旅游 卡,旅游 卡 在 什么 地区 发行 了
1072,银行卡,借记卡,什么是中国旅游卡,旅游卡属于储蓄卡吗,什么 是 中国 旅游 卡,旅游 卡 属于 储蓄卡 吗
1073,银行卡,借记卡,什么是中国旅游卡,旅游卡属于信用卡吗,什么 是 中国 旅游 卡,旅游 卡 属于 信用卡 吗
1074,银行卡,借记卡,什么是中国旅游卡,哪些地方能办旅游卡,什么 是 中国 旅游 卡,哪些地方 能办 旅游 卡
1075,银行卡,借记卡,什么是中国青年卡,办理青年卡有什么要求,什么 是 中国 青年 卡,办理 青年 卡有 什么 要求
1076,银行卡,借记卡,什么是中国青年卡,青年卡对年龄有要求吗,什么 是 中国 青年 卡,青年 卡对 年龄 有 要求 吗
1077,银行卡,借记卡,什么是中国青年卡,青年卡能个人申请吗,什么 是 中国 青年 卡,青年 卡能 个人 申请 吗
1078,银行卡,借记卡,什么是中国青年卡,青年卡能透支吗,什么 是 中国 青年 卡,青年 卡能 透支 吗
1079,银行卡,借记卡,什么是中国青年卡,青年卡是借记卡吗,什么 是 中国 青年 卡,青年 卡是 借记卡 吗
1080,银行卡,借记卡,什么是中国青年卡,青年卡是什么卡,什么 是 中国 青年 卡,青年 卡是 什么 卡
1081,银行卡,借记卡,什么是中国青年卡,青年卡针对什么人群,什么 是 中国 青年 卡,青年 卡 针对 什么 人群
1082,银行卡,借记卡,什么是中国青年卡,青年卡属于储蓄卡吗,什么 是 中国 青年 卡,青年 卡 属于 储蓄卡 吗
1083,银行卡,借记卡,什么是中国青年卡,青年卡属于信用卡吗,什么 是 中国 青年 卡,青年 卡 属于 信用卡 吗
1084,银行卡,借记卡,什么是中国青年卡,团员能办什么卡,什么 是 中国 青年 卡,团员 能办 什么 卡
1085,银行卡,借记卡,什么是中国志愿者卡,办理志愿者卡有什么要求吗,什么 是 中国 志愿者 卡,办理 志愿者 卡有 什么 要求 吗
1086,银行卡,借记卡,什么是中国志愿者卡,我能办理志愿者卡吗,什么 是 中国 志愿者 卡,我能 办理 志愿者 卡 吗
1087,银行卡,借记卡,什么是中国志愿者卡,志愿者卡能代办吗,什么 是 中国 志愿者 卡,志愿者 卡能 代办 吗
1088,银行卡,借记卡,什么是中国志愿者卡,志愿者能办什么卡,什么 是 中国 志愿者 卡,志愿者 能办 什么 卡
1089,银行卡,借记卡,什么是中国志愿者卡,中国志愿者卡能个人申请吗,什么 是 中国 志愿者 卡,中国 志愿者 卡能 个人 申请 吗
1090,银行卡,借记卡,什么是中国志愿者卡,中国志愿者卡能透支吗,什么 是 中国 志愿者 卡,中国 志愿者 卡能 透支 吗
1091,银行卡,借记卡,什么是中国志愿者卡,中国志愿者卡是借记卡吗,什么 是 中国 志愿者 卡,中国 志愿者 卡是 借记卡 吗
1092,银行卡,借记卡,什么是中国志愿者卡,中国志愿者卡是批量申请吗,什么 是 中国 志愿者 卡,中国 志愿者 卡是 批量 申请 吗
1093,银行卡,借记卡,什么是中国志愿者卡,中国志愿者卡属于储蓄卡吗,什么 是 中国 志愿者 卡,中国 志愿者 卡 属于 储蓄卡 吗
1094,银行卡,借记卡,什么是中国志愿者卡,中国志愿者卡属于信用卡吗,什么 是 中国 志愿者 卡,中国 志愿者 卡 属于 信用卡 吗
1095,银行卡,借记卡,睡眠户激活是否收取费用,好久不用的银行卡激活要收费么,睡眠 户 激活 是否 收取 费用,好久 不用 的 银行卡 激活 要 收费 么
1096,银行卡,借记卡,睡眠户激活是否收取费用,好久不用的银行卡重新使用有费用么,睡眠 户 激活 是否 收取 费用,好久 不用 的 银行卡 重新 使用 有 费用 么
1097,银行卡,借记卡,睡眠户激活是否收取费用,睡眠户要启用有相关手续费吗,睡眠 户 激活 是否 收取 费用,睡眠 户要 启用 有 相关 手续费 吗
1098,银行卡,借记卡,睡眠户激活是否收取费用,睡眠户再用要交钱么,睡眠 户 激活 是否 收取 费用,睡眠 户 再 用 要 交钱 么
1099,银行卡,借记卡,睡眠户激活是否收取费用,睡眠户之后要怎么办,睡眠 户 激活 是否 收取 费用,睡眠 户 之后 要 怎么办
1100,银行卡,借记卡,睡眠户激活是否收取费用,我的卡好久没用了，再用要收什么钱,睡眠 户 激活 是否 收取 费用,我 的 卡 好久没 用 了 ， 再用 要 收 什么 钱
1101,银行卡,借记卡,睡眠户激活是否收取费用,我的卡睡眠户了，想继续使用要交什么手续费吗,睡眠 户 激活 是否 收取 费用,我 的 卡 睡眠 户 了 ， 想 继续 使用 要交 什么 手续费 吗
1102,银行卡,借记卡,睡眠户激活是否收取费用,我的卡说是睡眠户了，那还有要交钱么,睡眠 户 激活 是否 收取 费用,我 的 卡 说 是 睡眠 户 了 ， 那 还有 要 交钱 么
1103,银行卡,借记卡,睡眠户激活是否收取费用,我的卡状态是睡眠户，那么再次启用要补交之前所欠费用么,睡眠 户 激活 是否 收取 费用,我 的 卡 状态 是 睡眠 户 ， 那么 再次 启用 要 补交 之前 所欠 费用 么
1104,银行卡,借记卡,睡眠户激活是否收取费用,银行卡好久不用了会产生什么费用吗,睡眠 户 激活 是否 收取 费用,银行卡 好久 不用 了 会 产生 什么 费用 吗
1105,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,办理同卡号换卡后，之前绑定的信用卡还款是否能正常还款,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,办理 同 卡号 换卡 后 ， 之前 绑定 的 信用卡 还款 是否 能 正常 还款
1106,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,借记卡同卡号换卡后是否影响信用卡自动还款的绑定,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,借记卡 同 卡号 换卡 后 是否 影响 信用卡 自动 还款 的 绑定
1107,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,同号换卡后，我之前的约定还款协议还有效吗,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,同 号 换卡 后 ， 我 之前 的 约定 还款 协议 还 有效 吗
1108,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,同号换卡后，影响贷记卡约定还款吗,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,同 号 换卡 后 ， 影响 贷记卡 约定 还款 吗
1109,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,同号换卡后，原卡绑定的信用卡还款业务还需要重新办理吗,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,同 号 换卡 后 ， 原卡 绑定 的 信用卡 还款 业务 还 需要 重新 办理 吗
1110,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,同号换卡后，原卡所绑定的信用卡自动还款会失效么,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,同 号 换卡 后 ， 原卡 所 绑定 的 信用卡 自动 还款 会 失效 么
1111,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,同号换卡后对原卡绑定的信用卡自动还款业务有影响吗,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,同 号 换卡 后 对 原卡 绑定 的 信用卡 自动 还款 业务 有 影响 吗
1112,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,我的储蓄卡和信用卡绑定了，储蓄卡同号换卡会有影响吗,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,我 的 储蓄卡 和 信用卡 绑定 了 ， 储蓄卡 同 号 换卡 会 有 影响 吗
1113,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,我网上银行绑定的银行卡同号换卡后还能继续用吗,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,我 网上银行 绑定 的 银行卡 同 号 换卡 后 还 能 继续 用 吗
1114,银行卡,借记卡,同号换卡后是否影响原卡绑定的电子银行业务和关联的贷记卡约定还款业务,我掌上银行绑定的银行卡同号换卡后还能继续用吗,同 号 换卡 后 是否 影响 原卡 绑定 的 电子 银行业务 和 关联 的 贷记卡 约定 还款 业务,我 掌上 银行 绑定 的 银行卡 同 号 换卡 后 还 能 继续 用 吗
1115,银行卡,借记卡,同一张借记卡可以有多少个账户,活期、国债、整整、零整/教育、定活、通知、贷款都能开子账户吗,同 一张 借记卡 可以 有 多少 个 账户,活期 、 国债 、 整整 、 零整 / 教育 、 定活 、 通知 、 贷款 都 能 开子 账户 吗
1116,银行卡,借记卡,同一张借记卡可以有多少个账户,借记卡都能开那些子账户,同 一张 借记卡 可以 有 多少 个 账户,借记卡 都 能 开 那些 子 账户
1117,银行卡,借记卡,同一张借记卡可以有多少个账户,请介绍下同一张借记卡可以有多少个账户,同 一张 借记卡 可以 有 多少 个 账户,请 介绍 下同 一张 借记卡 可以 有 多少 个 账户
1118,银行卡,借记卡,同一张借记卡可以有多少个账户,同一张借记卡分为主账户和那些子账户,同 一张 借记卡 可以 有 多少 个 账户,同 一张 借记卡 分 为主 账户 和 那些 子 账户
1119,银行卡,借记卡,同一张借记卡可以有多少个账户,同一张借记卡是否可可对多种类型的账户进行资金支付、划拨、转账结算和贷款等操作,同 一张 借记卡 可以 有 多少 个 账户,同 一张 借记卡 是否 可可 对 多种类型 的 账户 进行 资金 支付 、 划拨 、 转账 结算 和 贷款 等 操作
1120,银行卡,借记卡,同一张借记卡可以有多少个账户,我去银行存定期，直接存在卡上了，这样行吗,同 一张 借记卡 可以 有 多少 个 账户,我 去 银行 存 定期 ， 直接 存在 卡上 了 ， 这样 行 吗
1121,银行卡,借记卡,同一张借记卡可以有多少个账户,我想存一笔外汇，是必须重新开一张卡吗,同 一张 借记卡 可以 有 多少 个 账户,我想存 一笔 外汇 ， 是 必须 重新 开 一张 卡 吗
1122,银行卡,借记卡,同一张借记卡可以有多少个账户,我在你们行办了贷款，给了我一张卡，是只能扣贷款用吗,同 一张 借记卡 可以 有 多少 个 账户,我 在 你们 行办 了 贷款 ， 给 了 我 一张 卡 ， 是 只能 扣 贷款 用 吗
1123,银行卡,借记卡,同一张借记卡可以有多少个账户,这张卡是只能存取钱用吗,同 一张 借记卡 可以 有 多少 个 账户,这 张卡 是 只能 存取 钱用 吗
1124,银行卡,借记卡,同一张借记卡可以有多少个账户,子账户建立有限制吗,同 一张 借记卡 可以 有 多少 个 账户,子 账户 建立 有 限制 吗
1125,银行卡,借记卡,忘记借记卡查询密码怎么办,查询密码不记得了可以再电话上更改么,忘记 借记卡 查询 密码 怎么办,查询 密码 不 记得 了 可以 再 电话 上 更改 么
1126,银行卡,借记卡,忘记借记卡查询密码怎么办,查询密码和支付密码有什么区别,忘记 借记卡 查询 密码 怎么办,查询 密码 和 支付 密码 有 什么 区别
1127,银行卡,借记卡,忘记借记卡查询密码怎么办,查询密码能他人代办么,忘记 借记卡 查询 密码 怎么办,查询 密码 能 他人 代办 么
1128,银行卡,借记卡,忘记借记卡查询密码怎么办,查询密码是指什么呢,忘记 借记卡 查询 密码 怎么办,查询 密码 是 指 什么 呢
1129,银行卡,借记卡,忘记借记卡查询密码怎么办,查询密码输错，会锁定么,忘记 借记卡 查询 密码 怎么办,查询 密码 输错 ， 会 锁定 么
1130,银行卡,借记卡,忘记借记卡查询密码怎么办,查询密码忘记了，重置需要费用么,忘记 借记卡 查询 密码 怎么办,查询 密码 忘记 了 ， 重置 需要 费用 么
1131,银行卡,借记卡,忘记借记卡查询密码怎么办,查询密码忘了，需要挂失么,忘记 借记卡 查询 密码 怎么办,查询 密码 忘 了 ， 需要 挂失 么
1132,银行卡,借记卡,忘记借记卡查询密码怎么办,查询密码在什么渠道会用到,忘记 借记卡 查询 密码 怎么办,查询 密码 在 什么 渠道 会 用到
1133,银行卡,借记卡,忘记借记卡查询密码怎么办,忘记查询密码还能取钱么,忘记 借记卡 查询 密码 怎么办,忘记 查询 密码 还 能取 钱 么
1134,银行卡,借记卡,忘记借记卡支付密码怎么办,密码不记得了，能修改一个新密码么,忘记 借记卡 支付 密码 怎么办,密码 不 记得 了 ， 能 修改 一个 新密码 么
1135,银行卡,借记卡,忘记借记卡支付密码怎么办,密码挂失是去开户行办理么,忘记 借记卡 支付 密码 怎么办,密码 挂失 是 去 开户行 办理 么
1136,银行卡,借记卡,忘记借记卡支付密码怎么办,密码挂失需要带哪些证件办理,忘记 借记卡 支付 密码 怎么办,密码 挂失 需要 带 哪些 证件 办理
1137,银行卡,借记卡,忘记借记卡支付密码怎么办,密码忘了能通过电话办理么,忘记 借记卡 支付 密码 怎么办,密码 忘 了 能 通过 电话 办理 么
1138,银行卡,借记卡,忘记借记卡支付密码怎么办,支付密码不记得了能直接改密码么,忘记 借记卡 支付 密码 怎么办,支付 密码 不 记得 了 能 直接 改 密码 么
1139,银行卡,借记卡,忘记借记卡支付密码怎么办,支付密码挂失去哪儿办理,忘记 借记卡 支付 密码 怎么办,支付 密码 挂 失去 哪儿 办理
1140,银行卡,借记卡,忘记借记卡支付密码怎么办,支付密码挂失之后就能正常使用了么,忘记 借记卡 支付 密码 怎么办,支付 密码 挂失 之后 就 能 正常 使用 了 么
1141,银行卡,借记卡,忘记借记卡支付密码怎么办,支付密码忘了卡里的钱怎么取出来,忘记 借记卡 支付 密码 怎么办,支付 密码 忘 了 卡里 的 钱 怎么 取出 来
1142,银行卡,借记卡,忘记借记卡支付密码怎么办,支付密码忘了能由他人代办密码挂失么,忘记 借记卡 支付 密码 怎么办,支付 密码 忘 了 能 由 他人 代办 密码 挂失 么
1143,银行卡,借记卡,忘记借记卡支付密码怎么办,支付密码想不起来了要去哪里办理,忘记 借记卡 支付 密码 怎么办,支付 密码 想不起来 了 要 去 哪里 办理
1144,银行卡,借记卡,小额账户管理费免收范围有哪些,那些情况下可以免收账服费,小额 账户 管理费 免收 范围 有 哪些,那些 情况 下 可以 免收 账服费
1145,银行卡,借记卡,小额账户管理费免收范围有哪些,那些业务可以免小额账户管理费,小额 账户 管理费 免收 范围 有 哪些,那些 业务 可以 免 小额 账户 管理费
1146,银行卡,借记卡,小额账户管理费免收范围有哪些,那些业务可以免账服费,小额 账户 管理费 免收 范围 有 哪些,那些 业务 可以 免账 服费
1147,银行卡,借记卡,小额账户管理费免收范围有哪些,郑州银行收账服费吗,小额 账户 管理费 免收 范围 有 哪些,郑州 银行 收账 服费 吗
1148,银行卡,借记卡,小额账户管理费免收范围有哪些,郑州银行小额账户管理费吗,小额 账户 管理费 免收 范围 有 哪些,郑州 银行 小额 账户 管理费 吗
1149,银行卡,借记卡,小额账户管理费免收范围有哪些,我的卡被扣了账服费，怎么才能免收,小额 账户 管理费 免收 范围 有 哪些,我 的 卡 被扣 了 账 服费 ， 怎么 才能 免收
1150,银行卡,借记卡,小额账户管理费免收范围有哪些,我的卡怎么收小额账户管理费,小额 账户 管理费 免收 范围 有 哪些,我 的 卡 怎么 收 小额 账户 管理费
1151,银行卡,借记卡,小额账户管理费免收范围有哪些,我的账户前几个月没收账服费，怎么这个月就收取账服费了,小额 账户 管理费 免收 范围 有 哪些,我 的 账户 前 几个 月 没收 账服费 ， 怎么 这个 月 就 收取 账服费 了
1152,银行卡,借记卡,小额账户管理费免收范围有哪些,小额账户管理费免收范围是什么,小额 账户 管理费 免收 范围 有 哪些,小额 账户 管理费 免收 范围 是 什么
1153,银行卡,借记卡,小额账户管理费免收范围有哪些,账服费免收范围是什么,小额 账户 管理费 免收 范围 有 哪些,账服费 免收 范围 是 什么
1154,银行卡,借记卡,异地销卡有何规定,郑州银行可以异地办理销卡吗,异地 销卡 有何 规定,郑州 银行 可以 异地 办理 销卡 吗
1155,银行卡,借记卡,异地销卡有何规定,我的卡不是本地的，怎么销,异地 销卡 有何 规定,我 的 卡 不是 本地 的 ， 怎么 销
1156,银行卡,借记卡,异地销卡有何规定,我想注销外地卡，应该怎么办啊,异地 销卡 有何 规定,我 想 注销 外地 卡 ， 应该 怎么办 啊
1157,银行卡,借记卡,异地销卡有何规定,我在别的地办的卡，咋销啊,异地 销卡 有何 规定,我 在 别的 地办 的 卡 ， 咋销 啊
1158,银行卡,借记卡,异地销卡有何规定,我在外地，我销卡应该注意什么,异地 销卡 有何 规定,我 在 外地 ， 我销 卡 应该 注意 什么
1159,银行卡,借记卡,异地销卡有何规定,我在外地，我销卡怎么办,异地 销卡 有何 规定,我 在 外地 ， 我销 卡 怎么办
1160,银行卡,借记卡,异地销卡有何规定,我在外地我要注销借记卡应该注意什么,异地 销卡 有何 规定,我 在 外地 我要 注销 借记卡 应该 注意 什么
1161,银行卡,借记卡,异地销卡有何规定,异地销卡有什么手续,异地 销卡 有何 规定,异地 销卡有 什么 手续
1162,银行卡,借记卡,异地销卡有何规定,异地注销应该走什么程序啊,异地 销卡 有何 规定,异地 注销 应该 走 什么 程序 啊
1163,银行卡,借记卡,异地销卡有何规定,怎么注销外地办的卡,异地 销卡 有何 规定,怎么 注销 外地 办 的 卡
1164,银行卡,借记卡,银行卡各项费用收费标准,挂失补卡收费吗,银行卡 各项 费用 收费 标准,挂失 补卡 收费 吗
1165,银行卡,借记卡,银行卡各项费用收费标准,我想了解一下郑州银行卡办卡后有哪些收费项目,银行卡 各项 费用 收费 标准,我 想 了解 一下 郑州 银行卡 办卡后 有 哪些 收费 项目
1166,银行卡,借记卡,银行卡各项费用收费标准,银行卡存取款有手续费吗,银行卡 各项 费用 收费 标准,银行卡 存取款 有 手续费 吗
1167,银行卡,借记卡,银行卡各项费用收费标准,银行卡短信通知收费吗,银行卡 各项 费用 收费 标准,银行卡 短信 通知 收费 吗
1168,银行卡,借记卡,银行卡各项费用收费标准,银行卡工本费多少钱,银行卡 各项 费用 收费 标准,银行卡 工本费 多少 钱
1169,银行卡,借记卡,银行卡各项费用收费标准,银行卡开卡有手续费吗,银行卡 各项 费用 收费 标准,银行卡 开卡有 手续费 吗
1170,银行卡,借记卡,银行卡各项费用收费标准,银行卡有哪些费用,银行卡 各项 费用 收费 标准,银行卡 有 哪些 费用
1171,银行卡,借记卡,银行卡各项费用收费标准,银行卡有小额账户服务费吗,银行卡 各项 费用 收费 标准,银行卡 有 小额 账户 服务费 吗
1172,银行卡,借记卡,银行卡各项费用收费标准,银行卡怎么收费,银行卡 各项 费用 收费 标准,银行卡 怎么 收费
1173,银行卡,借记卡,银行卡各项费用收费标准,银行卡转账有手续费吗,银行卡 各项 费用 收费 标准,银行卡 转账 有 手续费 吗
1174,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现额外收费么,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取现 额外收费 么
1175,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现费用是按取现币种计算么,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取现 费用 是 按 取现 币种 计算 么
1176,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现费用是按人民币计算么,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取现 费用 是 按 人民币 计算 么
1177,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现收费标准,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取现 收费 标准
1178,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现手续费如何收取,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取现 手续费 如何 收取
1179,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现手续费最多多少,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取现 手续费 最 多 多少
1180,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现限制币种么,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取现 限制 币种 么
1181,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现有地域限制么,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取 现有 地域 限制 么
1182,银行卡,借记卡,在境外ATM机取现，手续费如何计算,境外取现最高额度是多少,在 境外 ATM 机 取现 ， 手续费 如何 计算,境外 取现 最高 额度 是 多少
1183,银行卡,借记卡,在境外ATM机取现，手续费如何计算,在境外取现有费用么,在 境外 ATM 机 取现 ， 手续费 如何 计算,在 境外 取 现有 费用 么
1184,银行卡,借记卡,在申请免年费和小额账户管理费的双免账户时，是否需要补交之前的年费和及小额账户管理费,年费和小额账户管理费在申请双免账户时需要补交吗,在 申请 免年费 和 小额 账户 管理费 的 双免 账户 时 ， 是否 需要 补交 之前 的 年费 和 及 小额 账户 管理费,年费 和 小额 账户 管理费 在 申请 双免 账户 时 需要 补交 吗
1185,银行卡,借记卡,在申请免年费和小额账户管理费的双免账户时，是否需要补交之前的年费和及小额账户管理费,请问是不是要补交之前的年费和及小额账户管理费才能申请免年费和小额账户管理费的双免账户,在 申请 免年费 和 小额 账户 管理费 的 双免 账户 时 ， 是否 需要 补交 之前 的 年费 和 及 小额 账户 管理费,请问 是不是 要 补交 之前 的 年费 和 及 小额 账户 管理费 才能 申请 免年费 和 小额 账户 管理费 的 双免 账户
1186,银行卡,借记卡,在申请免年费和小额账户管理费的双免账户时，是否需要补交之前的年费和及小额账户管理费,请问是不是要补交之前的年费和及小额账户管理费才能申请双免账户,在 申请 免年费 和 小额 账户 管理费 的 双免 账户 时 ， 是否 需要 补交 之前 的 年费 和 及 小额 账户 管理费,请问 是不是 要 补交 之前 的 年费 和 及 小额 账户 管理费 才能 申请 双免 账户
1187,银行卡,借记卡,在申请免年费和小额账户管理费的双免账户时，是否需要补交之前的年费和及小额账户管理费,请问在申请免年费和小额账户管理费的双免账户时，是否需要补交之前的年费和及小额账户管理费,在 申请 免年费 和 小额 账户 管理费 的 双免 账户 时 ， 是否 需要 补交 之前 的 年费 和 及 小额 账户 管理费,请问 在 申请 免年费 和 小额 账户 管理费 的 双免 账户 时 ， 是否 需要 补交 之前 的 年费 和 及 小额 账户 管理费
1188,银行卡,借记卡,在申请免年费和小额账户管理费的双免账户时，是否需要补交之前的年费和及小额账户管理费,申请双免账户，你们银行是收费吗,在 申请 免年费 和 小额 账户 管理费 的 双免 账户 时 ， 是否 需要 补交 之前 的 年费 和 及 小额 账户 管理费,申请 双免 账户 ， 你们 银行 是 收费 吗
1189,银行卡,借记卡,在申请免年费和小额账户管理费的双免账户时，是否需要补交之前的年费和及小额账户管理费,申请双免账户时，网点工作人员让我缴费,在 申请 免年费 和 小额 账户 管理费 的 双免 账户 时 ， 是否 需要 补交 之前 的 年费 和 及 小额 账户 管理费,申请 双免 账户 时 ， 网点 工作人员 让 我 缴费
